epoch: 139; mse: 0.00848; latent: 0.020; avg mse: 0.00962; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.67it/s]
epoch: 140; mse: 0.01027; latent: 0.027; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 141; mse: 0.00739; latent: 0.019; avg mse: 0.00964; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 142; mse: 0.01155; latent: 0.032; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 143; mse: 0.01051; latent: 0.026; avg mse: 0.00959; lr: 0.00030: 100%|██████████| 782/782 [01:33<00:00,  8.40it/s]
epoch: 144; mse: 0.00853; latent: 0.021; avg mse: 0.00957; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.20it/s]
epoch: 145; mse: 0.00922; latent: 0.025; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.18it/s]
epoch: 146; mse: 0.00959; latent: 0.025; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.61it/s]
epoch: 147; mse: 0.01024; latent: 0.025; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.67it/s]
epoch: 148; mse: 0.00764; latent: 0.020; avg mse: 0.00960; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 149; mse: 0.00849; latent: 0.020; avg mse: 0.00959; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 150; mse: 0.00943; latent: 0.026; avg mse: 0.00958; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.67it/s]
epoch: 151; mse: 0.00717; latent: 0.019; avg mse: 0.00959; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 152; mse: 0.01076; latent: 0.027; avg mse: 0.00959; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 153; mse: 0.00808; latent: 0.021; avg mse: 0.00959; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 154; mse: 0.01037; latent: 0.026; avg mse: 0.00956; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 155; mse: 0.01176; latent: 0.030; avg mse: 0.00955; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 156; mse: 0.00961; latent: 0.024; avg mse: 0.00955; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 157; mse: 0.00872; latent: 0.022; avg mse: 0.00956; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 158; mse: 0.01071; latent: 0.025; avg mse: 0.00956; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
